Rank,City,Health Care Index,"Health Care
Exp. Index"
1,"Cuenca, Ecuador",83.04,152.32
2,"Cleveland, OH, United States",82.94,154.6
3,"Hamilton, Canada",81.24,150.78
4,"Kansas City, MO, United States",79.4,148.17
5,"Guadalajara, Mexico",78.93,143.7
6,"Madison, WI, United States",78.89,145.79
7,"Edmonton, Canada",78.49,145.91
8,"Minneapolis, MN, United States",78.45,147.95
9,"Baltimore, MD, United States",76.57,143
10,"Calgary, Canada",76.43,140.55
11,"Medellin, Colombia",76.14,138.16
12,"Toronto, Canada",75.87,139.52
13,"Raleigh, NC, United States",75.62,140.66
14,"Vancouver, Canada",75.46,138.53
15,"Kelowna, Canada",75.26,140.23
16,"Boston, MA, United States",75.12,140.03
17,"Ottawa, Canada",74.97,137.76
18,"Pittsburgh, PA, United States",74.84,137.85
19,"Columbus, OH, United States",74.19,137.1
20,"Charlotte, NC, United States",73.88,138.85
21,"Portland, OR, United States",73.84,137.18
22,"Seattle, WA, United States",73.49,137.6
23,"San Jose, CA, United States",73.23,133.31
24,"Indianapolis, IN, United States",73.01,135.59
25,"Nanaimo, BC, Canada",72.47,131.74
26,"Honolulu, HI, United States",72.42,131.99
27,"San Antonio, TX, United States",72.06,132.68
28,"Houston, TX, United States",71.67,133.24
29,"Salt Lake City, UT, United States",71.38,133.91
30,"Quebec City, Canada",71.23,132.96
31,"Austin, TX, United States",70.69,130.56
32,"Mississauga, Canada",70.65,128.41
33,"Washington, DC, United States",70.63,130.17
34,"San Diego, CA, United States",70.15,130.34
35,"Halifax, Canada",70.03,128.99
36,"Victoria, Canada",69.89,128.81
37,"Sacramento, CA, United States",69.5,126.71
38,"Philadelphia, PA, United States",69.38,127.06
39,"Denver, CO, United States",68.92,128.59
40,"Winnipeg, Canada",68.82,127.56
41,"Cincinnati, OH, United States",68.77,129.31
42,"Tampa, FL, United States",68.64,127.56
43,"Buenos Aires, Argentina",68.31,123.64
44,"Fort Lauderdale, FL, United States",67.92,127.79
45,"Quito, Ecuador",67.79,121.48
46,"Regina, Canada",67.79,123.68
47,"Montevideo, Uruguay",67.51,122.14
48,"Atlanta, GA, United States",67.34,125.89
49,"Cali, Colombia",66.81,120.01
50,"Monterrey, Mexico",66.61,119.54
51,"Phoenix, AZ, United States",66.58,124.85
52,"Albuquerque, NM, United States",66.56,120.05
53,"Chicago, IL, United States",66.41,123.09
54,"London, Canada",66.38,120.68
55,"Curitiba, Brazil",66.26,118.79
56,"Santiago, Chile",66.04,121.42
57,"Kitchener, Canada",65.9,122.28
58,"Milwaukee, WI, United States",65.73,123.31
59,"Dallas, TX, United States",65.61,121.52
60,"San Francisco, CA, United States",65.17,120.63
61,"Mexico City, Mexico",65.08,116.19
62,"Montreal, Canada",64.78,121.27
63,"Asuncion, Paraguay",64.52,115.44
64,"Bogota, Colombia",64.48,115.34
65,"Saskatoon, Canada",63.97,114.84
66,"Nashville, TN, United States",63.95,117.97
67,"Spokane, WA, United States",63.66,115.5
68,"San Jose, Costa Rica",63.19,115.46
69,"Miami, FL, United States",62.94,118.39
70,"Detroit, MI, United States",62.88,114.51
71,"Belo Horizonte, Brazil",62.64,112.96
72,"Orlando, FL, United States",62.5,114.22
73,"Porto Alegre, Brazil",62.47,112.48
74,"Recife, Brazil",61.94,114
75,"Guatemala City, Guatemala",61.9,109.6
76,"New York, NY, United States",61.64,114.61
77,"Campinas, Brazil",61.41,111.38
78,"Los Angeles, CA, United States",61.33,113.19
79,"Anchorage, AK, United States",61.17,119.46
80,"San Juan, Puerto Rico",60.22,110.12
81,"Tucson, AZ, United States",59.05,107.04
82,"Panama City, Panama",58.68,104.03
83,"Lima, Peru",58.59,103.12
84,"Sao Paulo, Brazil",58.1,105.23
85,"Las Vegas, NV, United States",55.81,100.06
86,"Santo Domingo, Dominican Republic",51.15,88.59
87,"Port of Spain, Trinidad And Tobago",49.28,90.98
88,"Brasilia, Brazil",49.15,86.72
89,"Rio de Janeiro, Brazil",43.78,76.75
90,"Caracas, Venezuela",38.92,67.39
